LOCATION,DATESEQ,COVER1,VA1COVER,ME2LOGHETADS,VA2LOGHETADS,ME4LOGGAMBO,VA4LOGGAMBO
WRHW,41,60,1300,3.36,1.15,1.25,0.41
WRHW,42,80,100,2.23,1.96,0.46,0.16
WRHW,43,53.33,1733.33,1.9,0.13,0.23,0.16
WRHW,44,13.33,233.33,5.67,0.79,1.79,0.36
WRHW,45,46.67,533.33,1.43,0.12,0.69,0.48
WRHW,46,46.67,1433.33,2.96,0.01,0.9,0.68
WRHW,47,43.33,133.33,3.22,0.17,0,0
WRHW,48,16.67,33.33,2.68,0.44,0.85,2.19
WRHW,49,13.33,133.33,2.9,0.14,0.77,1.77
WRHW,50,26.67,33.33,3.42,0.2,0.6,0.31
WRHW,51,13.33,33.33,2.36,1.45,1.09,1.76
WRHW,52,37.5,1291.67,1.86,2.16,0.27,0.3
WRHW,53,46.67,2133.33,2.83,0.69,1.23,0.23
WRHW,54,40,1900,1.5,1.79,0.65,1.26
WRHW,55,60,2100,2.48,4.63,0.23,0.16
WRHW,56,43.33,1733.33,1.18,2.18,0.77,0.65
WRHW,57,40,900,3.92,1.43,0.37,0.4
WRHW,58,70,1900,3.29,3.34,0,0
WRHW,59,86.67,33.33,3.88,0.01,0.46,0.64
WRHW,60,60,1200,4.52,1.04,1.48,0.47
WRHW,61,73.33,2133.33,4.35,0.47,2.06,0.9
WRHW,62,76.67,433.33,3.5,0.44,1.44,1.69
WRGP,1,90,100,2.28,3.89,0.83,0.82
WRGP,2,86.67,33.33,3.37,1.46,1.56,0.32
WRGP,3,96.67,8.33,2.34,0.41,1.27,1.86
WRGP,4,83.33,833.33,1.77,1.7,0.88,0.97
WRGP,5,93.33,133.33,2.88,3.6,2.19,0.13
WRGP,6,93.33,33.33,2.39,1.96,2.31,1.34
WRGP,7,65,675,0.96,1.26,1.19,1.55
WRGP,8,73.33,1433.33,0.23,0.16,1,2.99
WRGP,9,73.33,433.33,0.83,0.54,0,0
WRGP,10,76.67,633.33,1.4,1.55,0.9,0.68
WRGP,11,80,300,3.12,2.26,0.46,0.64
WRGP,12,86.67,233.33,2.35,3.07,1.16,0.16
WRGP,13,96.67,33.33,1.85,0.64,0.23,0.16
WRGP,14,93.33,33.33,3.62,0.25,0.23,0.16
WRGP,15,73.33,133.33,1.89,2.96,1.19,0.03
WRGP,16,73.33,133.33,2.88,0.52,1.8,1
WRGP,17,70,1200,1.34,1.49,1.81,5.1
WRGP,18,63.33,233.33,1.94,2.89,1.29,1.55
WRGP,19,46.67,433.33,0.83,0.54,0.37,0.4
WRGP,20,60,700,0.46,0.16,2.15,3.49
WRGP,21,36.67,133.33,0.23,0.16,0.94,2.68
WRGP,22,30,100,0.23,0.16,1,0.76
WRGP,23,40,1200,2.73,0.57,2.13,0.1
WRGP,24,33.33,433.33,2.44,2.47,0.83,0.54
WRGP,25,30,100,3.22,0.54,1.3,0.28
WRGP,26,66.67,933.33,3.77,0.64,3.01,0.07
WRGP,27,53.33,1233.33,3.47,0.04,2.43,0.93
WRGP,28,70,1900,3.65,0.1,1.73,1.2
WRGP,29,50,1300,1.92,0.65,0.37,0.4
WRGP,30,26.67,33.33,2.56,0.18,1.13,0.97
WRGP,31,33.33,233.33,3.09,0.82,2.64,0.55
WRGP,32,40,,,,,
WRGP,33,46.67,833.33,0.6,1.07,1.01,0.95
WRGP,34,76.67,533.33,0.69,0.48,0.69,0.48
WRGP,35,58.33,1408.33,1.55,1.95,0.23,0.16
WRGP,36,36.67,633.33,0.6,1.07,2.04,1.54
WRGP,37,43.33,1033.33,2.34,0.08,1.26,1.45
WRGP,38,40,400,3.74,0.91,0.69,1.44
WRGP,39,60,1900,2.27,0.2,0.8,1.92
WRGP,40,70,400,3.56,0.31,2.25,0.04
WRGP,41,30,300,1.71,0.95,1.87,0.54
WRGP,42,16.67,33.33,2.76,0.24,1.83,0.06
WRGP,43,53.33,933.33,3.68,0.56,2,0.56
WRGP,44,36.67,,,,,
WRGP,45,20,100,0,0,1.1,1.21
WRGP,46,33.33,33.33,0,0,1.26,1.45
WRGP,47,36.67,33.33,0,0,0,0
WRGP,48,66.67,233.33,0.83,0.54,0,0
WRGP,49,36.67,33.33,3.46,0.45,0.6,0.31
WRGP,50,30,100,1.45,0.97,0.23,0.16
WRGP,51,20,0,0.6,0.31,0,0
WRGP,52,15,50,0,0,0,0
WRGP,53,20,100,0.37,0.4,0.46,0.64
WRGP,54,36.67,933.33,0,0,0.6,0.31
WRGP,55,43.33,33.33,0.23,0.16,0.23,0.16
WRGP,56,30,300,0.23,0.16,1.01,0.95
WRGP,57,16.67,33.33,0,0,0.23,0.16
WRGP,58,15,50,0,0,0,0
