Ant Index,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
0,23,73,41,34,31,24,45,42,35,39,32,14,31,22,23,11,20,24,23,28,12,15,20,18,9,13,8,5,3,5,6,13,41,42,40,9,9,10,19,20,18,12,32,20,10,9,8,27,2,4,5,1,1,45,4,5,22,19,25,3,6,9,6,8,9,7,12,7,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,92,73,31,32,18,19,18,16,23,15,21,7,13,8,10,5,9,16,10,12,3,9,7,13,4,12,16,5,8,10,8,31,15,7,4,7,7,9,9,6,9,7,5,6,2,9,8,8,6,5,8,6,14,10,7,8,2,6,5,4,8,6,19,11,20,9,13,8,10,7,11,14,40,24,31,31,18,37,45,43,8,7,2,0,0,0
2,8,10,12,6,5,2,11,6,11,7,10,5,4,7,13,9,7,7,9,4,1,8,6,6,14,8,9,5,2,1,1,3,22,48,19,20,12,16,16,14,8,23,14,15,18,14,13,20,7,5,6,5,4,38,14,14,33,13,15,9,15,8,13,17,8,5,8,6,10,6,8,9,26,15,17,7,14,7,5,5,61,13,19,8,24,18,9
3,2,10,5,6,7,4,5,4,5,1,3,1,1,3,1,1,4,6,15,6,1,2,7,7,12,8,21,25,77,63,58,49,50,39,37,3,6,9,29,12,13,11,8,20,13,10,14,14,29,29,20,31,7,19,11,11,15,8,22,9,7,4,21,16,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,8,5,5,5,2,13,9,8,30,21,1,3,4,5,3,2,7,4,9,10,9,4,3,8,6,6,11,6,4,3,11,29,23,18,4,4,8,3,10,3,2,7,7,10,3,3,7,2,1,1,5,3,19,12,11,21,13,20,4,9,13,4,11,6,11,13,6,4,3,1,6,2,11,19,28,26,25,43,24,36,17,27,19,15,23,5
5,6,49,35,15,9,14,9,2,19,52,15,5,17,12,35,23,9,13,4,10,13,6,12,11,11,10,18,7,12,12,5,5,8,21,14,4,9,4,5,11,6,15,4,6,16,15,12,14,13,5,2,1,5,20,6,8,13,7,13,16,4,16,17,4,13,9,30,15,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,4,12,20,4,8,2,3,2,2,1,0,0,0,1,1,0,1,0,2,0,0,2,0,3,0,0,8,5,1,4,1,16,5,0,0,2,2,1,0,1,0,5,2,1,0,4,0,0,0,1,0,4,24,11,12,25,11,9,11,8,0,11,7,8,7,11,5,10,11,16,13,34,22,15,57,29,20,49,57,44,20,15,5,10,31,9
7,8,68,75,27,18,22,21,40,16,27,29,49,23,27,28,53,26,23,40,8,23,20,9,13,7,16,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,21,23,34,21,10,13,8,14,60,17,15,15,8,14,11,15,10,26,18,2,14,6,5,4,15,4,3,3,0,0,7,35,20,13,16,6,8,8,13,5,9,2,8,5,3,6,11,5,1,2,2,3,24,3,6,24,3,5,4,1,5,4,0,5,2,4,2,3,4,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,22,13,5,4,4,7,9,15,10,17,14,16,22,33,13,7,6,10,8,6,6,7,4,20,3,4,12,1,9,2,5,14,9,10,6,9,5,6,3,2,6,10,7,13,4,7,11,3,6,2,4,0,33,5,3,5,5,7,6,1,7,6,13,5,5,25,10,7,5,10,9,16,14,9,8,12,0,5,2,2,5,3,1,5,15,2
10,11,38,17,18,9,6,25,30,18,14,11,21,32,33,22,9,26,21,20,17,14,16,8,11,11,18,34,15,7,5,5,27,21,46,26,10,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20,65,59,28,22,23,21,12,18,17,4,4,5,11,12,4,10,7,5,11,4,3,2,7,4,6,5,11,2,6,6,9,8,75,17,7,13,11,7,6,7,38,27,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,21,23,21,18,23,43,29,31,70,45,47,26,45,45,31,42,32,12,12,16,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16,22,30,45,22,22,27,29,33,42,28,15,23,30,13,15,17,4,7,12,9,9,2,4,3,1,3,6,4,4,1,10,32,18,13,17,7,8,17,11,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,12,35,19,11,10,12,19,8,15,10,4,7,8,6,7,13,5,2,3,1,6,5,3,9,4,12,14,13,22,12,16,18,27,37,16,4,8,12,12,6,19,7,2,11,12,7,12,12,19,9,9,14,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,15,14,9,4,5,3,4,16,4,5,5,4,10,2,5,13,14,17,9,7,7,10,3,22,28,13,21,10,21,20,11,40,18,8,0,5,3,0,5,5,3,8,5,8,10,9,20,13,5,4,6,8,19,3,11,7,6,11,3,3,9,10,14,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,15,8,7,2,0,7,1,14,6,4,0,4,4,21,17,17,13,21,13,5,13,10,14,19,15,10,15,6,7,5,5,48,26,16,10,10,20,20,40,14,15,21,28,16,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,4,7,4,2,5,5,9,11,32,1,4,12,10,3,12,1,3,1,1,5,0,3,3,3,2,3,6,2,4,2,4,30,15,8,0,5,3,6,2,4,3,4,0,4,2,13,9,1,1,1,3,1,36,0,0,13,3,5,2,5,6,4,8,4,9,8,2,0,11,10,11,18,20,26,10,40,9,2,3,2,6,3,4,7,18,8
18,2,3,17,23,2,2,8,3,6,26,27,1,2,11,2,4,3,5,2,0,4,1,4,4,4,5,2,6,4,2,4,3,43,29,7,7,4,5,1,10,5,9,18,14,31,9,9,16,12,6,2,1,1,10,11,10,7,12,12,12,3,6,10,9,3,9,10,2,3,3,4,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0
19,2,6,6,9,11,14,8,3,4,10,7,4,8,3,13,6,2,1,7,4,1,2,7,5,18,11,18,30,34,37,10,13,22,23,12,3,4,3,1,3,5,0,5,5,5,8,1,12,3,12,5,5,4,25,6,15,6,0,21,1,5,2,10,8,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,17,24,13,19,10,18,10,17,15,24,10,19,27,17,17,23,13,18,19,12,7,15,16,10,15,5,9,4,6,12,4,30,20,16,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,10,8,20,4,17,9,3,11,31,12,8,5,46,39,24,6,7,11,10,12,2,8,5,9,15,2,9,3,3,2,5,1,2,46,11,10,25,7,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,4,4,5,7,1,8,8,8,14,7,33,35,12,1,5,7,12,2,5,1,11,9,9,8,13,25,15,20,17,11,10,50,12,17,26,7,14,7,2,2,6,9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,21,33,16,13,11,7,10,11,18,19,9,3,16,16,1,7,10,15,3,7,10,4,9,1,9,11,2,1,4,3,3,4,26,69,2,3,1,6,9,16,3,7,10,7,3,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,9,4,0,4,0,0,3,5,0,0,0,8,0,12,12,1,9,21,2,4,6,5,9,0,1,0,5,3,2,1,3,9,6,0,12,17,6,2,1,4,7,12,7,13,69,18,44,40,36,4,11,2,9,3,0,3
25,3,18,32,9,9,6,10,16,10,30,15,6,6,7,5,6,7,7,8,3,9,10,11,6,7,7,11,3,2,4,4,6,66,50,14,11,4,6,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,15,20,65,22,27,13,20,33,32,19,14,16,14,25,15,17,10,15,7,13,13,6,5,7,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,5,61,39,30,8,4,5,5,80,43,2,8,3,1,0,4,2,3,0,3,0,0,1,1,1,0,1,1,1,2,2,32,21,16,1,3,6,3,8,5,12,6,6,2,0,1,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,2,1,1,1,1,3,2,3,3,4,0,4,3,3,5,11,5,2,3,0,6,4,2,4,3,0,5,22,21,15,8,15,2,3,1,4,1,2,1,1,0,5,5,3,3,0,9,15,6,7,0,2,3,3,1,2,3,1,0,1,1,1,1,0,1,1,0,1,0,4,3,1,18,17,18,30,14,18,20,16,3,7,4,3,8,2
29,1,8,2,6,2,3,3,3,11,35,12,2,3,9,6,7,2,6,3,0,0,1,2,1,1,4,2,1,1,3,2,2,25,23,13,4,3,5,4,6,3,11,3,2,4,5,2,11,2,1,1,2,0,42,5,3,10,4,8,3,1,2,2,1,0,2,11,3,2,4,1,1,3,2,0,0,0,2,2,3,44,1,0,0,0,3,0
30,1,2,0,2,0,1,2,0,1,2,0,4,2,8,5,9,11,4,3,2,0,1,3,0,8,7,5,23,18,10,6,11,15,12,8,4,5,7,20,10,9,18,14,11,9,13,5,11,5,6,3,3,2,14,4,2,7,7,5,3,1,1,9,11,8,6,9,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,6,7,9,3,3,4,6,11,9,17,17,1,3,5,9,7,5,4,6,4,2,2,1,2,0,2,5,6,7,5,5,7,9,19,3,4,3,1,11,5,1,4,3,6,3,3,5,14,4,3,3,3,4,37,12,11,25,4,19,4,6,8,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
