Ant Index,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
46,2,5,22,20,2,15,29,29,20,18,2,16,6,5,6,13,12,9,4,6,2,7,5,16,8,6,9,9,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,11,6,4,14,5,3,9,3,10,0,12,4,4,0,6,3,3,1,4,1,2,6,1,2,4,4,5,2,4,7,2,4,7,6,1,0,0,2,0,1,9,3,2,3,6,23,2,8,3,5,2,3,11,4,0,0,2,1,3,2,1,0,5,0,0,1,1,0,2,3,3,1,1,0,1,11,2,2,8,8,1,1,0,0,2,0
48,17,21,27,35,13,13,21,21,16,52,21,7,6,9,9,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,17,7,9,6,1,14,4,16,10,4,0,2,3,2,0,1,4,3,0,3,0,1,1,3,1,6,24,10,3,5,5,3,14,11,1,2,4,8,0,3,7,0,5,4,7,3,4,8,7,0,0,3,4,3,2,4,2,0,4,0,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,2,3,1,0,0,0,0,1,0,3,0,5,10,27,48,7,52,35,19,9,10,16,5,1,3
51,14,31,23,18,15,8,10,11,7,19,20,5,15,7,9,7,11,8,7,6,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,6,13,18,18,11,7,7,6,15,25,12,2,3,4,3,3,3,0,0,1,1,2,3,1,5,3,2,0,2,1,1,2,6,7,5,0,3,2,2,0,2,1,2,2,6,2,2,2,0,2,0,0,0,2,4,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,25,6,15,12,4,2,3,0,0,3,1,3,0,1,4,0,2,9,4,4,1,1,1,4,2,4,3,2,2,0,0,1,1,4,2,2,2,1,2,0,2,1,0,1,2,3,5,1,1,8,3,5,4,7,2,6,2,1
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,6,1,2,8,6,4,2,2,12,10,6,2,5,6,9,9,22,9,10,14,9,19,3,6,7,8,8,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,5,3,6,21,43,7,38,19,20,14,9,2,1,0,0,2,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,8,13,18,6,8,4,6,5,4,4,0,2,10,27,16,13,3,4,1,3,8,0,1,4,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,11,10,8,19,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,5,6,2,3,1,3,3,3,1,3,12,4,3,2,2,2,2,3,3,4,2,3,0,4,3,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,33,5,2,0,0,2,5,4,11,17,10
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,1,1,1,0,0,0,0,1,0,0,2,2,1,1,1,3,3,9,7,7,3,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,3,0,1,1,1,2,3,0,2,1,0,1,1,3,5,2
61,7,9,1,0,1,2,1,4,2,1,2,0,4,0,3,1,5,4,0,1,0,1,0,1,1,0,0,1,0,2,0,2,5,0,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,1,2,0,0
62,2,3,1,4,2,2,6,2,3,16,2,6,3,5,4,4,10,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
