Ant Index,2018/6/17,2018/6/18,2018/6/19,2018/6/20,2018/6/21,2018/6/22,2018/6/23,2018/6/24,2018/6/25,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
20,8,30,26,16,15,8,6,19,17,24,9,17,19,9,4,6,5,9,11,12,9,4,10,11,18,30,30,21,15,12,17,24,12,18,5,14,18,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,4,9,8,8,44,16,12,5,10,1,5,4,18,11,15,13,7,10,8,9,29,15,10,15,15,15,10,8,11,11,9,8,12,11,13,13,14,16,16,15,11,7,4,9,4,13,6
22,2,1,9,6,5,4,5,2,2,1,1,1,3,0,2,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,3,2,1,15,4,4,8,24,4,14,3,18,7,16,25,10,6,1,4,3,6,7,5,3,4,2,10,7,8,6,6,10,17,11,18,8,4,3,12,7,16,10,8,11,12,32,21,6,6,7,7,8,4,2,9,8,3,7,1
23,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,1,2,0,0,1,1,0,0,2,1,2,9,2,5,4,6,14,16,12,7,12,18,6,22,13,12,6,25,11,14,33,15,20,18,11,14,7,5,7,6,17,12,11,11,33,18,12,7,11,19,1,13,8,1
24,0,4,8,3,1,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,3,3,2,0,0,2,2,7,2,1,4,12,8,5,2,0,2,5,2,4,4,10,11,4,6,18,10,3,12,10,12,11,13,8,8,2,12,17,6,12,8,9,3,8,17,9,3,15,5,1,3,4,9,4,7,7,8,3,5,5,9,5,2,5,13,8,13,2,11,3,6,4,5,1
25,2,4,2,2,0,3,3,1,2,7,4,4,2,11,1,7,1,0,0,2,0,4,2,5,0,3,1,6,8,3,6,4,5,5,8,7,5,4,5,5,4,7,4,8,5,5,12,2,2,1,5,8,5,17,8,2,4,0,2,3,3,24,13,14,3,5,2,2,5,9,4,4,6,4,9,12,6,3,1,4,1,8,9,16,9,9,3,12,10,4,9,4,5,10,8,2
26,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,1,1,0,2,1,1,0,0,9,15,9,3,5,6,6,14,4,7,4,6,2,2,3,23,8,8,6,8,5,18,21,15,32,48,7,17,10,17,14,17,12,31,10,11,10,14
27,3,5,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,2,1,1,4,1,5,3,4,2,1,0,3,1,0,0,0,0,0,0,3,2,0,1,0,4,3,4,6,36,22,41,23,32,9,64,6,2,21,20,18,33,10,3,17,8,10,4,5,5,4,6,4,2
28,10,26,29,26,11,15,17,15,19,16,14,19,23,14,16,29,15,16,29,17,11,18,15,13,12,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,4,6,4,3,1,0,2,12,8,15,3,9,5,11,16,8,10,13,10,16,7,17,13,6,5,4,15,18,3,8,2,2,9,16,17,9,19,8,11,12,13,9,11,9,12,1,16,16,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
